mins,peaks
240.918,240.811
241.29401,241.133
241.66901,241.401
242.20599,241.77699
242.687,242.47301
243.008,242.955
243.16901,243.061
243.757,243.59599
244.237,244.02299
244.98399,244.55701
245.198,245.091
245.677,245.517
246.05,245.996
246.422,246.209
246.89999,246.63499
247.21899,247.06
247.325,247.272
247.537,247.37801
247.69701,247.592
248.174,247.96201
248.651,248.38699
248.81,248.758
249.23399,249.129
249.605,249.39301
250.133,249.97501
250.556,250.45
251.03101,250.767
251.347,251.295
251.875,251.664
252.19099,252.033
252.77,252.507
253.244,252.981
253.612,253.45399
254.084,253.979
254.556,254.243
254.76601,254.61
255.396,255.02901
255.709,255.657
255.866,255.815
256.07501,256.02399
256.599,256.39001
257.017,256.75601
257.32999,257.17401
258.11301,257.69601
258.479,258.32101
258.84201,258.68701
258.99799,258.89499
259.62201,259.414
260.298,259.987
260.97299,260.76599
261.647,261.285
262.01001,261.85501
262.37201,262.21701
262.78601,262.63101
262.99301,262.94199
263.509,263.19901
263.716,263.66501
264.026,263.82001
264.17999,264.078
264.43799,264.38699
264.54199,264.48999
264.85101,264.59399
265.46899,265.315
265.82901,265.67499
265.93201,265.88
266.035,265.983
266.23999,266.138
266.65201,266.548
267.01099,266.754
267.47198,267.422
267.728,267.57501
267.98599,267.78
268.34299,268.08701
268.75299,268.548
269.10999,268.90601
269.57101,269.31601
269.672,269.62201
270.03101,269.827
270.133,270.082
270.59201,270.48999
270.79599,270.745
271,270.94901
271.35599,271.254
271.814,271.509
272.27301,271.96701
272.526,272.47501
272.629,272.578
273.034,272.83099
273.28799,273.18701
273.38901,273.33801
273.54199,273.44
273.84601,273.79599
274.20099,274.048
274.505,274.40399
274.85901,274.758
275.21301,275.01001
275.466,275.41501
275.97,275.616
276.07199,276.021
276.47501,276.27399
277.181,276.828
277.383,277.23099
277.58401,277.534
278.23801,278.03699
278.69,278.38901
279.29401,279.142
279.74399,279.64499
280.09601,279.84399
280.996,280.345
281.24701,281.04599
281.496,281.34698
282.146,281.69601
282.54501,282.19601
282.694,282.64499
283.043,282.89301
283.44199,283.24301
283.939,283.69101
284.38699,284.08899
284.53601,284.436
284.73401,284.685
284.983,284.93301
285.52802,285.28
285.776,285.677
286.07401,285.82599
286.71701,286.272
287.21201,287.064
287.508,287.409
287.65701,287.608
287.90302,287.80399
288.841,288.24899
289.13599,289.03799
289.23401,289.185
289.431,289.28299
289.67801,289.57999
289.87399,289.776
290.26801,289.97198
290.366,290.31699
290.66,290.61099
290.85599,290.70901
291.20001,290.905
291.34799,291.29901
291.73999,291.543
291.98499,291.83801
292.229,292.17999
292.57101,292.47299
293.10999,292.96301
293.207,293.15799
293.548,293.353
293.89099,293.74399
294.13501,293.98801
294.37799,294.23199
294.71899,294.52301
295.30301,294.96301
295.64301,295.44901
295.83701,295.789
296.27499,296.03299
296.664,296.56699
296.90601,296.76099
297.246,297.10001
297.58499,297.39001
297.681,297.633
297.77802,297.73001
298.117,298.01999
298.745,298.552
299.32501,298.84201
299.66299,299.51801
299.90302,299.759
300.241,300.14499
300.62601,300.33701
301.29901,300.867
301.39499,301.34698
301.492,301.444
301.58801,301.54001
301.92401,301.828
302.35599,302.164
302.547,302.452
302.78699,302.64301
303.362,303.07401
303.505,303.457
303.69699,303.60101
304.03101,303.79199
304.508,304.31799
304.603,304.55701
305.034,304.79501
305.32001,305.082
305.60599,305.55801
306.177,305.84399
306.51001,306.32001
307.03201,306.70001
